Time	latency	
146.702	76	
146.931	74	
147.164	84	
147.398	66	
147.539	6	
147.631	77	
147.866	74	
148.097	78	
148.330	71	
148.566	88	
148.867	120	
149.199	84	
149.465	91	
149.735	82	
149.965	59	
150.166	78	
150.464	141	
150.831	79	
151.066	74	
151.299	84	
151.535	63	
151.734	70	
151.967	90	
152.232	76	
152.465	73	
152.700	85	
152.934	63	
153.071	6	
153.098	6	
153.198	85	
153.462	91	
153.733	87	
154.032	122	
154.284	6	
154.304	6	
154.324	7	
154.430	89	
154.619	6	
154.640	7	
154.665	4	
154.710	35	
154.803	16	
154.844	6	
154.861	4	
154.879	6	
154.906	6	
154.926	6	
154.963	19	
155.012	6	
155.035	6	
155.060	7	
155.100	21	
155.154	4	
155.172	6	
155.193	6	
155.234	23	
155.291	7	
155.429	122	
155.768	92	
156.036	79	
156.297	102	
156.597	92	
156.900	113	
156.963	6	
