Time	latency	
29.709	148	
30.159	147	
30.590	133	
31.007	141	
31.419	127	
31.812	134	
32.222	137	
32.633	135	
33.031	123	
33.407	127	
33.810	144	
34.234	133	
34.623	119	
34.997	134	
35.390	119	
35.754	120	
36.140	145	
36.559	123	
36.955	145	
37.394	145	
37.818	132	
38.202	114	
38.560	127	
38.941	125	
39.332	135	
39.744	133	
40.147	131	
40.540	121	
40.926	136	
41.352	147	
41.769	120	
42.151	137	
42.584	156	
43.021	120	
43.394	128	
43.789	130	
44.186	134	
44.599	137	
45.012	138	
45.431	142	
45.867	145	
46.290	127	
46.677	127	
47.058	121	
47.421	116	
47.779	121	
48.151	124	
48.528	125	
48.905	123	
48.998	5	
