Time	latency	
6.423	72	
6.637	67	
6.855	78	
7.071	56	
7.269	81	
7.503	66	
7.702	59	
7.895	72	
8.103	63	
8.303	70	
8.517	64	
8.716	66	
8.935	85	
9.168	59	
9.355	64	
9.557	66	
9.753	59	
9.936	63	
10.139	72	
10.368	82	
10.617	79	
10.855	73	
11.085	75	
11.321	81	
11.558	74	
11.770	61	
11.988	91	
12.238	63	
12.435	68	
12.652	75	
12.873	67	
13.088	77	
13.319	70	
13.535	73	
13.752	67	
13.964	73	
14.188	72	
14.404	66	
14.603	62	
14.822	90	
15.070	61	
15.273	78	
15.505	69	
15.717	68	
15.920	62	
16.137	84	
16.387	79	
16.619	71	
16.852	87	
17.102	70	
17.314	72	
17.539	74	
17.770	79	
18.000	63	
18.203	76	
18.422	64	
18.623	71	
18.843	71	
19.050	60	
19.253	76	
19.470	60	
19.670	77	
19.901	74	
