Time	keytime	target	cy	hy	
84.547	0.01543861	0	0	0	
84.562	0.03247681	0	0	0	
84.578	0.04759463	0	0	0	
84.593	0.06291748	0	0	0	
84.606	0.07578345	0	0	0	
84.637	0.1069542	0	0	0	
84.651	0.1217299	0	0	0	
84.666	0.1367229	0	0	0	
84.681	0.1504512	0	0	0	
84.695	0.164854	0	0	0	
84.711	0.1812621	0	0	0	
84.725	0.1949091	0	0	0	
84.737	0.2072986	0	0	0	
84.770	0.2402068	0	0	0	
84.785	0.2553602	0	0	0	
84.798	0.2686797	0	0	0	
84.813	0.2829924	0	0	0	
84.830	0.3004533	0	0	0	
84.844	0.3143097	0	0	0	
84.857	0.3276418	0	0	0	
84.892	0.3622322	0	0	0	
84.906	0.3757212	0	0	0	
84.919	0.3888218	0	0	0	
84.933	0.4033407	0	0	0	
84.948	0.4181571	0	0	0	
84.961	0.4316212	0	0	0	
84.975	0.4457418	0	0	0	
85.006	0.4763544	0	0	0	
85.019	0.4892673	0	0	0	
85.034	0.5039688	0	0	0	
85.049	0.5195792	0	0	0	
85.066	0.5359201	0	0	0	
85.079	0.548681	0	0	0	
85.095	0.5655482	0	0	0	
85.112	0.5821064	0	0	0	
85.145	0.6148171	0	0	0	
85.159	0.6290555	0	0	0	
85.174	0.6441765	0	0	0	
85.186	0.6566881	0	0	0	
85.199	0.6698508	0	0	0	
85.215	0.6854367	0	0	0	
